sifra_umetnika,ime_umetnika,biografija,debut,tip
365474,Davichi,Davichi is a South Korean pop duo which debuted in 2008. The group name &ldquo;Davichi&rdquo; comes from the Korean expression which means to &ldquo;shine over everything&rdquo;. The members are Lee Hae-ri and Kang Min-kyung and the duo are well known for their powerful vocals and consistent commercial success.,2008,SK
355065,WINNER,"WINNER is a boy band that formed through the reality survival program WIN: Who is Next in 2013. The group officially debuted in 2014 with their first studio album &lsquo;2014 S/S&rdquo;. The group currently consists of four members, Jinwoo, Seunghoon, Mino and Seungyoon. One of the original members, Taehyun, left the group in November 2016. The group recently released their third EP &ldquo;CROSS&rdquo; in Oct. 2019.",2014,SK
361183,Jannabi,"Jannabi is a South Korean indie rock band which formed in 2012. Originally, the group was formed with three members and grew to five members consisting of Choi Jung-hoon, Kim Do-hyung, Yoo Young-hyun, Jang Kyung-joon and Yoon Kyul. After Yoo Young-hyun left the group in 2019, the group currently consists of the remaining four members. The group released their debut EP, &ldquo;See Your Eyes&rdquo; in 2014 and two full length albums, &ldquo;Monkey Hotel&rdquo; (2016) and Legend (2019).",2012,SK
364567,Park Hyo-shin,"Park Hyo-shin is a Korean singer who debuted in Nov. 1999 with his debut album &ldquo;Things I Cannot Do For You&rdquo; which included the hit title &ldquo;Fool.&rdquo; After appearing on a TV show called Lee Sora&rsquo;s Propose, Park&rsquo;s popularity rose instantly helping his debut album to sell well. Consequently, Park won the Rookie of the Year award at the 15<sup>th</sup> Golden Disk Awards that year. Park is famous for changing his style of singing. From his 5<sup>th</sup> album, his singing style changed completely with many likening it to Eric Benet. Park is considered to be one of the top male vocalists in Korea, with his name among other stars like Kim Bum-soo and Naul. However, due to his introverted personality he rarely makes appearances on TV or radio.",1999,SO
233589,G-Dragon,"Kwon Ji Yong, also known as G-Dragon or GD, is the leader of the popular male vocal group Big Bang and a widely-acknowledged singer-songwriter, who won the '2007 Songwriter Award' at the Mnet Km Music Festival. When Kim was just seven years old, he was chosen as one of the members of a singing group called ‘Little Roora’. G-dragon has been trained by one of Korea’s biggest entertainment agencies,YG Family, since he was 12 along with his fellow Big Bang member, Tae Yang. G-Dragon is considered a style icon and has a deep passion for fashion. G-Dragon released his debut digital single ‘Just Look at Me Part 2’ on June 30, 2008.",,SO
234669,SISTAR,"The four-membered group SISTAR initially made their debut through a magazine shoot for a popular street-wear brand. They hit the kpop scene in June of 2010 with their upbeat track ""Push Push"". Their entertainment company had released a statement saying that the group would show off not only their attractive bodies, vocal and dance talents, but their style through their eccentric music, choreography, and fashion. They added that the girls were expected to set a new culture code for the 10 to 20 year olds in Korea.  One of the members, Soyou, actually trained with the members of 4minute, but at the last minute was not able to debut with the rest of the girls. After experiencing such bumps in the road, she burst into tears following SISTAR's first debut performance on KBS Music Bank.      The girls are one of the hottest anticipated newbie groups on the scene. After the release of their title single, they shot to number one on certain online music charts, music video charts, and search engines. They were even chosen to model for Samsung Electronics MP3 for their unique style and rising popularity.",2010,SO
234677,Infinite,"Infinite is a group that had garnered much interest even before their debut. That was partially because they had their own reality TV show ""You're My Oppa"". Also, they were featured in Epik High's music video for the song ""Run"". Being that they are under the same management as Epik high, Tablo and Mithra Jin had reportedly taken part in producing the group's first debut mini-album ""First Invasion"".     Their sound can be described as vintage rock and electronica in their first hit single, ""Come Back Again"". The music video was even directed by the same director who lead the shooting of the Brown Eyed Girls' ""Abracadabra"" video. The idol group's management group proudly said that although Infinite is indeed an idol group, they will offer their fans a fresh new sound that sets them apart from the many other idol groups out there. In addition to the sounds of their single, their other songs from their first mini-album also offer some '90's like dance tunes and ballads.    Their real hit came with the song ""Be Mine"" in 2011. The famed team behind the song was a surefire formula for success. The guys won their first number one with it on a music performance show.    Infinite went on to expand overseas in Japan. They released their first Japanese single ""To Ra Wa"" in 2011, the Japanese version of ""Come Back Again"". Their official Japanese debut was through the song ""BTD"" which was released in November of 2011.     Back on the domestic front, Infinite released their first Christmas song ""White Confession"" that same year in 2011.    2012 was another big year for the group as they held their very first solo concert in Korea for about 8,000 fans in February.     The members started to branch out doing solo activities. Some of these activities included L being cast in the drama ""Shut Up Flower Boy Band"". Hoya was cast in ""Reply 1997"". Woo-hyun was cast in the drama ""The Thousandth Man"".     The group released their third mini album ""Infinitize"" that year and the song ""The Chaser"" won them a triple crown for winning a music chart show for three weeks in a row. The song was also named the best k-pop song of the year by Billboard.     Infinite stayed busy in 2013, releasing their fourth mini album ""New Challenge"" with the title song ""Man In Love"". They kept up their activities in Japan as well, releasing their first Japanese album along the way and hitting number one on the Oricon albums chart.     Infinite held their first world tour titled ""One Great Step"", kicking off in Seoul in August. They had 22 shows in Asia, North America, Europe, and Dubai.     Infinite branched out even wider in 2014, holding showcases in different countries like Japan and Taiwan. They released their second studio album ""Season 2"" in May of 2014 and then a repackaged album ""Be Back"" in July.     In September, the group won their first Billboard number one single with the song ""Last Romeo"". They even became the first Korean artist to top the Billboard Twitter Emerging Artist, and hit number 33 on the Billboard Twitter Top Tracks.     In 2015, Infinite released a mini album titled ""Reality"" with the title song ""Bad"" . They went on to hold their second world tour in July, called the ""Infinite Effect World Tour"". The group also had another reality show about them hit the airwaves, called ""Infinite Showtime"".    In 2016, the group released a digital single for the summer season, ""That Summer (The Second Story)"". They then had a fall comeback with the song ""The Eye"" off of their album ""Infinite Only"".",2010,SO
233414,Girls Generation,"So Nyeo Shi Dae (SNSD), also known as Girls Generation, is a large girl group made up of 9 members who are by no means, strangers to the entertainment business. Although the new group made their formal debut in early August, members Yoon-A, Tiffany, Tae-yeon, Yu-ri, Hyo-yeon, Soo-young and Seo-hyun have already appeared in various advertisements, TV and radio shows. The multi-lingual group boasts members who can speak Korean, English, Chinese and Japanese. Jessica and Tiffany were raised in the US and Soo-young was in a Japanese girl group called Route-O.      Even before their debut, the girls were filmed for a documentary (“M.Net’s Girls Go To School”) focusing on their preparations before releasing their first single. After starting their first round of promotional activities for “Into The New World” on August 5, 2007, they were soon after able to reach number one on Mnet’s MCountdown!.     Their first full album was released in the fall of 2007, which featured a remake of Lee Seung-cheol’s hit “Girls’ Generation”. Their second single off of the album, “Kissing You” was able to hit number one on KBS’s Music Bank. The group released a repackaged album soon after in March of 2008. During the promotions, members Jessica, Tiffany, and Seo-hyeon participated as honorary vocals in the band Roommate for their mini-album. Titled, “Roommate: Emotional Bandaid”, it was released on December 1, 2008.   As SNSD’s popularity continued to skyrocket, the girls also took part in a reality show on M.net titled “Factory Girl”. The girls were filmed as they embarked on the mission of being interns at the fashion magazine Elle Girl. The group also participated in their first SM concert in 2008.  Keeping up with the momentum, the girls released their next single “Gee” in January of 2009. The song topped Cyworld’s hourly music chart on the day of its release, while also hitting number one on various online music charts in about two days. The music video received one million views on GomTV in just one day, later becoming the first video to reach “Diamond Track” status on GomTV by breaking the five million views mark on January 16. Gee later was their first real grand slam as it broke the record on Music Bank for the most consecutive number one wins—nine to be exact. The catchy song also received a triple crown on SBS’s Inkigayo, topped Mujikon, Melon, and M.net charts for eight consecutive weeks, Dosirak for seven, Muse for six, and Baksu for four weeks.     After taking a short break, the young girls released their Genie mini album which sold about 50,000 copies in its first week. This was a notable feat for any Korean girl group! Of course “Genie” hit number one on the various live music performance shows as well.  Next, with the release of “Oh!”, the girls won five consecutive wins on Music Bank, triple crown on Inkigayo, won Music Bank’s half-year K-charts, and came in at second on Hanteo’s first half album sales charts. Milking the success of their latest songs for what they were worth, the group released a repackaged album featuring “Run Devil Run”. The combined sales of their “Oh!” album and “Run Devil Run” album were higher than any other artist for the first half of 2010! The two title tracks’ music videos also ranked in the top 10 for GomTV’s 2010 First Half Rankings (13 million views in 6 months).  After having conquered Korea’s music scene, the group then set their eyes on Japan. They began their promotions the summer of 2010, releasing a DVD of their music videos, holding a debut concert in Tokyo in August, and releasing Japanese versions of “Genie” and “Gee”. “Gee” made history, establishing Girls Generation as the second foreign female act to hit number one on the prestigious Oricon weekly charts. Reaching new heights on all kinds of various music and DVD charts, the girls showed that their charm and appeal applied to non-Koreans as well.     Not forgetting their domestic fans, the group made their comeback with “Hoot” in October of 2010. It took about seven minutes before the hot track dominated seven major Korean realtime charts – Monkey3, Dosirak, Melon, Soribada, Cyworld, Bugs, and Daum. The music video featured Choi Siwon of Super Junior and it attracted 1 million hits on Youtube in less than 24 hours.",2007,SO
238506,Hyukoh,"The band Hyukoh debuted in 2014 with their fresh and easy-listening music. However, it wasn't until mid 2015 where they blew up in popularity by appearing in the popular variety show ""Infinite Challenge."" Following their appearance, the band went on a streak of hitting number one on music charts and music broadcasts.",2014,SO
235056,Girl’s Day,"The group Girl's Day started to gain much attention even before their debut thanks to extensive promotions via social networking sites. An official cafe, YouTube channel, and Twitter accounts for all of the members were created even before their official release. One of their promos even featured dance flash mobs which spread and received much attentions.      The five membered-group finally debuted in 2010 with ""Tilt My Head"", which unfortunately didn't do as well as expected. About two months following their release, September of 2010, the group announced that two of their original members -- Ji-sun and Ji-in -- would be leaving the group. Ji-sun decided to study music more to hone her craft better, while Ji-in wanted to focus more on her acting skills.      Two days later, the group gained two new members: Yoo-ra and Hye-ri. Girl's Day wasted no time in releasing their next single in October, which did a little better than ""Tilt My Head"". The girls started to gain more attention for being featured on ""We Are Dating"", a reality show spin-off of ""We Got Married"". They were paired off with the members of U-KISS.     They then released ""Twinkle Twinkle"" in March of 2011 which was their best release up until that point. They were announced to be the Weekly Most Popular Track by Melon in early April, an honor attained through a criteria of combinging streaming hits, downloads, and user votes. ""Twinkle Twinkle"" is a re-interpretation of an '80's hit, ""Round And Round"" by Nami.",2010,SO
368849,Se-Hun &amp; Chan-yeol,"EXO-SC is the second official sub-unit of the boy band EXO. Consisting of two EXO members, Chanyeol and Sehun, the unit debuted on July 22, 2019 with the EP &ldquo;What a Life&rdquo;.",2020,SK
389341,Black Pink,,2016,SK
388237,Red Velvet - IRENE &amp; SEULGI,,2020,SO
354121,Red Velvet !!!,"Red Velvet is a South Korean girl group under SM Entertainment comprised of members Joy, Seulgi, Wendy, Yeri and Joy. The group debuted in August 2014 with the digital single, &ldquo;Happiness.&rdquo; The group has enjoyed a considerable amount of success and recognition since their debut with their first EP and made their Japanese debut in 2018. Regarded as one of the most popular K-pop groups worldwide by Time and Billboard, Red Velvet has received several awards for music, choreography, and popularity..",2014,SK
343723,SHAUN,"Shaun in a member of the rock group The Koxx and he is also a singer and songwriter as well as DJ. His band, The Koxx, became active in 2006 thrugh live performances in the Hongdae club scene and officially debuted in June 2010 with the single titled &ldquo;Enter&rdquo; after taking part on a reality show called &ldquo;Hello Rookie.&rdquo; The band consists of three other members: Lee Hyunsong, Lee Sooryun and Park Sunbin.",2018,SO
345741,SUPERJUNIOR-D&amp;E,"Super Junior D&amp;E is the fifth official sub-unit of the K-pop boy band, Super Junior. It was formed by SM Entertainment in 2011 with two Super Junior members Donghae and Eunhyuk. The duo debuted with the digital single, &ldquo;Oppa, Oppa&rdquo;. The group has also been active in Japan releasing their 2nd full-length Japanese album in June, 2018. In August 2018, the group released their 3rd full-length album in Korea titled &ldquo;STYLE&rdquo;. On Sept. 3, 2020, the duo&rsquo;s fourth mini-album &ldquo;Bad Blood&rdquo; was released.",2011,SK
353617,Mamamoo,"Mamamoo is a South Korean girl group formed by Rainbow Bridge World in 2014. The group officially debuted on June 19, 2014 with the song &quot;Mr. Ambiguous&quot;. Their debut was considered as one of the best K-pop debuts of 2014 by some critics and the group is recognized for their retro, jazz and R&amp;B concepts as well as strong vocal performances.",2014,SK
343777,A Pink,"Apink is a South Korean girl group which debuted in April 2011 with the mini album, &ldquo;Seven Spring of Apink&rdquo;. The group&rsquo;s members include Park Cho-rong, Yoon Bo-mi, Jung Eun-ji, Son Na-eun, Kim Nam-joo and Oh Ha-young. Hong Yoo-kyung left the group in April 2013 to focus on her studies. To date, Apink has won more than 30 music awards and 32 music program awards. In October 2014, Apink released their first Japanese-language single, &ldquo;NoNoNo,&rdquo; and has since released three Japanese studio albums.",2011,SK
233671,2PM,"Famed producer/singer Park Jin-young introduced his ambitious project 2PM, a group that started off as one when combined with the members of group 2AM. Composed of seven highly talented musicians picked out from numerous auditions, the performance band was expected to upgrade the public’s expectation of a boy band. Believing that fresh concepts and incomparable talents are the only means to survive in the fiercely competitive music world, the seven-member band had subjected itself to intense training. In fact, fans were able to watch their rigorous training and selection process through a documentary called Hot Blood Men on a cable channel. As a result of all that hard work,mbb they were able to make their stunning debut the summer of 2008 with unparalleled dance skills and notable singing, thus totally shattering the existing image of pretty boy bands. These seven talented and handsome young men brought quite a sensation to the music scene in the second half of 2008.     However, controversy struck September of 2009 when past comments made by leader Jaebum surfaced on the internet. Jaebum had taken to his personal myspace page in 2005 to vent about his dislike for Korea using derogatory words. This enraged Koreans who demanded for Jaebum to be kicked out of the group. A few days following the upheaval his past comments had created, Jaebum announced he would be leaving to the US. The remaining members honored his role in the group by leaving a spotlight over Jaebum's usual spot while performing and leaving his vocals untouched on the already recorded songs. Loyal fans also stuck by Jaebum, protesting that JYP bring him back to the group. Towards the end of 2010 and early 2011, there were hints of this being a possibility.    However, February 2010, JYP made an abrupt announcement that Jaebum's contract with JYP was terminated and that he would not be returning to 2PM ever again. Such a strong stance left the public wondering what could have possibly triggered the producer to make such a statement. Tot his day, fans are left in the dark.    As they say in entertainment, the show must go on. And that it did. The group continued to promote as a 6-membered group, achieving their first number one on the weekly rankings of Music Bank with ""Heartbeat"". After that, many of their later singles followed suit. Separate members also started their own activities such as Taecyeon embarking on acting in the drama ""Cinderella Sister"", Nickhun joining the popular variety show ""We Got Married"", and Junsu taking on a contender spot for an idol singer competition show on KBS.    Their single ""Hands Up"" off of their 2nd album reached number one on the Billboards equivalent in Korea, the Gaon Charts.",,SO
239354,Han Dong-geun,"Han Dong-geun won season 3 of the popular talent search competition TV show ""Birth of a Great Star"" in 2013. He made his official debut as a solo singer the next year in 2014.    His first release was ""Making a New Ending For This Story"". Ironically enough, this was the song that indeed did change his story, giving him a new beginning rather than an ending. The only thing was, it took some time. It wasn't until two years later that the song started to get attention.     Han failed to make much of an impression with his earlier single releases. However, after his appearance on the singing TV show ""Duet Song Festival"", the public sat up and took notice of this talented vocalist. His older release ""Making a New Ending For This Story"" started to climb the music charts, even hitting number one. It stayed in the upper tier for weeks and even months to come. Riding on the wave of popularity, Han released a new single ""Amazing You"", which also fared very well.",2014,SO
235597,Urban Zakapa,"Urban Zakapa first debuted onto the music scene in 2009. They weren't very active in promoting their music through the typical mainstream methods : TV and radio appearances. Rather, the group become well-known all through word of mouth. This should give a hint to those unaware of the group of their musical skills and capabilities.    Their music can be categorized as R&B mixed with acoustic soul.  They're known for their usage of real musical band arrangements that feature a lot of modern, acoustic sounds. All of their music has their characteristic groovy and soulful twist on unplugged sounds.    Urban Zakapa, despite their incredibly young age, all compose, write, arrange, and produce their own songs.",2009,SO
346001,Paul Kim,"Paul Kim is a singer/songwriter who debuted with the single &ldquo;Would You Like Some Coffee&rdquo; in 2014. He appeared as a contestant on the popular U.S. audition show, American Idol and became one of the top 24 semi-finalists in Season 6 (2007).",2014,SO
351072,IZ_ONE,"IZ*ONE is a South Korean-Japanese girl group which was formed through the cable reality audition &ldquo;Produce&rdquo; series. The group has twelve members: Jang Won-young, Sakura Miyawaki, Jo Yu-ri, Choi Ye-na, An Yu-jin, Nako Yabuki, Kwon Eun-bi, Kang Hye-won, Hitomi Honda, Kim Chae-won, Kim Min-ju, Lee Chae-yeon. In late 2019, the group&rsquo;s activities were temporarily suspended due to a vote manipulation scandal related to the audition program they were formed under. The group debuted in 2018 with their first EP Color*Iz which was met with success, allowing the group to win New Artist of the Year awards at several broadcasters. The group released their Japanese debut single in 2019.",2018,SO
393964,Lim Chang-jung,,1990,SO
232588,Psy,"In February 2001, a rookie singer stirred up the Korean pop music scene with very blunt lyrics, peculiar dance moves and his unconventional appearance. The rookie singer was Psy, also nicknamed the “Bizarre Singer.” With “Bird,” the title song of his first album, Psy showed off his own style, fashion and confidence successfully breaking down the stereotype among kpop music lovers that male singers have to be good-looking and be able to dance well.     His in-your-face lyrics especially appealed to the younger generation of Korean music fans. The fact that he graduated from the Berkley School of Music in the U.S. also served as a significant merit for the singer. However, just 5 months after his album was released, Psy’s album was not allowed to be sold to juveniles as various civic groups complained that it potentially is a negative influence for the younger generation. Several months later, Psy was arrested by the police on charges of smoking marijuana. In January 2002, Psy was punished with a fine.     His second album entitled “For Adults” was released in the same month and was also banned from being sold to those under the age of 18. In September of 2002, Psy released his 3rd album by launching his new music on an Internet music site. Being released just a few months after the World Cup games held in Seoul, the title song of Psy’s 3rd album, “Champion”, saw great success for its crowd-pumping vibe.    He continued to hold his spot as an artist that fans loved for his unconventional ways and refusal to adhere to society’s and the industry’s mold. Of course the inevitable came, and he went in to serve his mandatory military sentence from 2003 to 2005. However, evidence came to light that suggested Psy didn’t properly serve his full sentence. He was re-drafted to serve a second term in August of 2007. After being released the summer of 2009, Psy voiced how he had learned a lot through his experience. He said he also felt the weight of his responsibility to his wife and two daughters that were born two months before he started his second term.    Psy switched entertainment agencies in 2010 to YG Entertainment where CEO Yang Hyun-suk expressed his old time ties with the singer. Psy made his comeback in October of 2010 amidst the idol craze. However, true to form, he’s been embracing the fact that he’s nowhere close to idol status. Sticking to his usual style without the overusage of the ever-so-popular auto-tune voice synthesizer, Psy’s showing another successful run with his music.",2001,SO
232559,T(Yoon Mi-rae),"""T,"" born Yoon Mi-rae, is a female hip-hop artist who made her debut as a member of Uptown. Yoon came into the spotlight as a female singer with a distinctive vocal talent. Yoon is also a great rapper.     Yoon was born in 1981 in the US. Her father is an African-American US military officer who was stationed in Korea and her mother is Korean. Yoon’s American name is Natasha Shanta Reid and her nickname growing up was ""Baby T,"" which was later changed to ""T"" during her professional career.     In 1997, at the age of 16, Yoon debuted in the K-pop world as a member of Uptown. She was the lead vocal and the mascot of the band. However, the band had to break up due to alleged drug use by some of its members. In 2000, Yoon restarted her singing career as a member of a female duo Tashani. However, in August 2000, she was questioned under the suspicion of illegal drug use. The allegations against her were lifted but she could no longer perform as a member of Tashani. In 2001, she took on another challenge by changing her name to ""T"" and making her debut as a solo singer. The song ""Time Goes By"" was released and T’s solo debut was a success. After releasing her 3rd solo album, T had to go on hiatus due to some problems with her management agency. She soon settled those problems and hustled to release a new album.     Yoon is known for her special talents in soulful vocals and rap. She is still considered to be one of the best female rappers in Korea. In fact, in 2011, MTV iggy honored her as one of the top 12 female MCs in the world. She's also married to Tiger JK, who's considered the ""godfather of Korean hip hop"". Together they make up the hip hop couple of Korea.  They have a son named Jordan.",1997,SO
235872,Girls Generation-Taetiseo,"SM Entertainment teased the public announcing that it would release a sub-unit group of the top girl group Girls Generation.     The name TaeTiSeo gave it away on who would be the members. The name is derived from the names Taeyeon, Tiffany, and Seo-hyeon. They seek to show a different side of themselves and style of music through their subunit activities.     As soon as the title song ""Twinkle"" hit the market, it along with the other songs on the mini-album, skyrocketed on music charts across the country.     TaeTiSeo proved that they don't need all 9 members of Girls Generation to create hits!",2012,SO
376414,ASTRO,"ASTRO is a South Korean boy band that debuted under Fantagio in 2016 with the EP &ldquo;Spring Up.&rdquo; Their debut album helped them to be named as one of the best new K-pop groups of 2016 according to Billboard. The group has six members: MJ, JinJIn, Cha Eun-woo, MoonBin, Rocky, and Yoon San-ha. In November 2019, the group released their sixth EP, &ldquo;Blue Flame.&rdquo;",2016,SK
355157,MC The Max,"M.C. the MAX (acronym for Moon Child the Max) is a Korean rock band which originally debuted in 2000 as a four-member band called Moon Child. After the departure of one member, the remaining three re-grouped and formed M.C. the MAX. The group formed their own agency 325 E&amp;C in 2018 and released a new full-length studio album in Jan. 2019.",2000,SK
232679,god,"G.o.d. is a group debuted with the song “To My Mother” also known as the so-called “The Jajangmyeon Song.” Singer Park Jin-young was the producer for the group in which 5 members, Park Joon-hyung, Ahn Danny, Yoon Gye-sang, Sohn Ho-young and Kim Tae-woo performed great musical and dance talents. Since their debut in 1999, the boy-band has been loved by fans in all age groups from teens to the middle-aged. Leader Park Joo-hyung is a rapper with a deep and low voice. Yoon Gye-sang is a high-tone rapper with a good sense of humor. Ahn Danny is Park Joon-hyung’s cousin who performs medium rap in the group. Sohn Ho-young is the vocalist for the band who is loved for his soft smile and voice. The leading vocalist Kim Tae-woo boasts great singing talent. Their musical style ranges from hip-hop, disco, latin, punk and R&B to pop ballads. Since their debut, the band has been enjoying steady popularity for its diversity in musical style. In 2002, g.o.d. participated in MTV Asia Music Awards as the Korean representative. In April of the same year, the band also participated in the official album for the 2002 FIFA World Cup Korea/Japan, “True East Side.” From July that year, the band embarked on a long journey of a 100-day concert. The series of concert ended in March of 2003. In December of 2004, Yoon Gye-sang left the group temporarily to do his military service. As of January 2005, g.o.d. is actively appearing on air performing songs in their 6th album, “An Ordinary Day.”",1997,SO
379064,TAEMIN,"Taemin, born as Lee Tae-min on July 18, 1993 is a singer, actor, dancer and songwriter. He debuted in 2008 as a member of the boy band SHINee under SM Entertainment. In 2014 he debuted as a solo artist with the EP &quot;ACE&quot;. He also became a member of SM Entertainment&#39;s project supergroup SuperM in 2019.",2008,SO
357840,Woody,"Woody (born Kim Sang-woo on Feb. 22, 1992) is a Korean singer song-writer who debuted as a member of the group N-Train in 2011 with the single &ldquo;One Last Cry.&rdquo; According to his agency, Woody first debuted as a member of the boy group but eventually left the group. Afterwards, he continued to create music and perform in Korea&rsquo;s indie scene. His latest digital single &ldquo;Fire Up&rdquo; was released on Jan. 23, 2019.",2011,SO
358173,Lee So-ra,Lee So-ra is one of Korea&rsquo;s top female ballad singers who debuted in 1993 as a member of the jazz group Strange People. Lee released her first solo album in 1995 and has won multiple awards at the Korean Music Awards. Her sixth album &ldquo;Nunsseopdal&rdquo; which means &ldquo;moon shaped like eyebrows&rdquo; which was released in 2004 has been listed as one of the 100 greatest Korean albums.,1993,SO
389498,Lee Hi,"Lee Hi is a singer and songwriter who debuted on Oct. 28, 2012 with the single &ldquo;1, 2, 3, 4&rdquo;. She is best known as the runner-up of the reality audition show &ldquo;K-pop Star Season 1&rdquo;. Her first full-length album &ldquo;First Love&rdquo; was released in 2013.&nbsp;",2012,SO
236594,ERIC NAM,"Eric Nam is a Korean American singer-songwriter, entertainer and television presenter based in South Korea. Following a viral YouTube Cover, Eric Nam was invited by a South Korean terrestrial broadcaster to take part in an audition program which jump started his career as a singer/celebrity. In January 2013, Eric made his official debut with the release of his first EP “Cloud 9.”",2011,SO
234704,miss A,"Comprised of two Korean members and two Chinese members, Miss A is the next hottest girl group on the market. They’re being noted for not only their vocals, but powerful dance moves. Having been dubbed the next Wonder Girls, the girls topped some of the major music charts just five days after their debut! In fact, there were already about 100 fans showing up for one of their public appearances just three days after their songs dropped.    It’s hard to say whether the hype over this newbie group is due 100% to their talent or due to major kpop names backing them up. First off, their debut song, “Bad Girl Good Girl” was written by J.Y. Park himself. And even before the girls officially debuted stars signed under the same entertainment agency – 2AM, 2PM, Wonder Girls – all were promoting the girls via pictures on their personal twitter accounts.    Also, the girls participated in an advertisement for a Korean conglomerate company in China attracting a number of Chinese fans. It doesn’t hurt that half of the group are with Chinese origins.    One things for sure though, many many eyes are on this group waiting to see if they will live up to all the hype.",2010,SO
232782,JinuSean,"Jinusean is a hip-hio duo produced by Yang Hyun-seok, a former member of the Taiji Boys. Consisting of members Jinu and Sean, the hip-hop duo made their debut in 1997 with the song “Gasoline.” Jinu originally debuted in the local pop music scene in 1994 as a solo singer with the song “I was the Captain.” Sean who is in charge of rapping was originally a back dancer for the Taiji Boys. The male duo pursues hip-hop music incorporated with beats of funk. In their most recent 4th official album released after a 3-year hiatus, exciting beats of hip-hop and funk fascinate listeners to move their body to the dancing tunes.",1994,SO
238553,Block B Bastarz,"The group Block B debuted in 2011, as an idol group that had a real talent in hip hop.    In 2015, a project group consisting of the three members P.O, U-Kwon, and B-BOMB, called Block B BASTARZ debuted with the mini album ""Zero For Conduct"". The title track of the same title is said to have been inspired by a 1993 classic French movie called ""Zero du Conduite"". The talented leader of Block B wrote the song for the project group, with the member P.O being responsible for writing most of the song's lyrics.",2015,SO
233291,Lee Moon-sae,"Lee Moon-sae first debuted in the entertainment world by becoming an emcee for ""Seventeen"" a radio show on CBS in 1978. His singing career began around the same time as he performed on many live stages at cafes. Lee actually started to appear on air as a singer in the early 1980s. However, he failed to draw attention from the public with his debut album ""I'm a Happy Man"" although renowned composers like Kim Hee-gap participated in it. Lee Moon-sae's singing career began to flourish after he released his 3rd album in which he collaborated with song writer Lee Young-hoon. As the song ""I Don't Know Yet"" gained great popularity, the partnership between Lee Moon-sae and Lee Young-hoon continued for more than 10 years. In the late 1980s and through the early '90s, Lee constantly performed in the local music scene and yet couldn't see much attention for his music. However, in 1996 with the release of his 10th album ""Flower Dance,"" Lee once again enjoyed popularity with the songs ""Early Morning Discount"" in which he worked with young musicians like Lee Jeok and Yoo Hee-yeol. As well as continuously releasing new music, Lee Moon-sae also performed as a DJ for ""On a Starry Night"" aired on MBC radio. However, since he released his 10th album, Lee left the show that he had been on for 11 years and focused on his musical career. Lee is also well-known for beginning a new type of live concerts in which he combined the format of a musical with a pop concert. Under the title of ""Lee Moon-sae Solo Recital"" the singer traveled around the country successfully creating a new wave in the performance culture. Lee Moon-sae has led a steady career from the '80s to the present. Lee is now one of the few singers in Korea who creates songs for the fans in their 40s.",,SO
345622,(G)I-DLE,,2018,SK
383061,SUHO (EXO),"Suho, who was born Kim Jun-myeon in 1991, is the leader and lead vocalist of the popular boy band EXO and its sub-unit EXO-K. He debuted with EXO in April 2012 and apart from his group activities, he has also starred in numerous TV dramas and movies. On March 30, 2020 he debuted as a soloist with the release of his solo debut EP &ldquo;Self Portrait&rdquo;.",2012,SO
236366,Baek Ah-yeon,"Baek Ah-yeon first caught the eyes of Koreans through the hit first season of the talent search TV show K-Pop Star.    Though she wasn't able to win the contest -- she finished in third place -- Baek scored a deal with JYP Entertainment. She debuted as an official solo singer in 2012 with the title song ""Sad Song"". ""Sad Song"" was able to sweep all the major real-time music charts as soon as it dropped.    Baek's music video is being touted for the captivating visuals that compliment Baek's powerful vocals. Model Ahn Jae-hyun from ""Challenge Supermodel Korea 3"" also appeared in the music video.",2012,SO
349936,Loco,"Loco is a South Korean rapper under the hip hop label AOMG. He debuted after winning the first season of the cable rap competition program called &ldquo;Show Me the Money&rdquo; in 2012. After signing with AOMG, he released his first EP &ldquo;Locomotive&rdquo; which was followed by his full-length album &ldquo;Bleached&rdquo; released in May 2017.",2012,SO
238805,park-kyung,"After debuting as a member of the successful group Block B in 2011, Park Kyung got the opportunity to go solo in 2015.     Park always had a love for songwriting and producing. His solo track released in September of 2015 was the perfect opportunity to showcase his talent. He not only wrote his solo song, but produced it alongside Kero One, an established Korean-American hip hop artist, well known for working with Epik High.     Park featured solo singer Park Boram on his track, ""Ordinary Love"", singing about the early stages of falling in love where one can't help but wonder if this person is finally ""the one"".     The song hit number one on one of the music ranking TV programs, attesting to his popularity.",2011,SO
374254,Super Junior,"Super Junior is also known as Sj or SuJu and debuted in 2005 as a 12-member boy band under SM Entertainment. The group is often dubbed by the media as the &ldquo;King of Hallyu&rdquo; due to their prominent contributions in spreading K-pop globally. The group originally consisted of 12 members (Leeteuk, Heechul, Han Geng, Yesung, Kangin, Shindong, Sungmin, Eunhyuk, Donghae, Siwon, Ryeowook and Kibum) and officially debuted with &ldquo;Twins (Knock Out)&rdquo; in 2005. After undergoing some member changes, the current lineup consists of ten members (Leeteuk, Heechul, Yesung, Shindong, Sungmin, Eunhyuk, Donghae, Siwon, Ryeowook, Kyuhyun) and the group celebrated their 15th anniversary in 2020 with the release of their 10th studio album &ldquo;The Renaissance.&rdquo;",2005,SO
